0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
1,0.001220,0.001509,0.002019,0.002330,0.002526,0.002862,0.003812,0.004544,0.005059,0.005688,0.006011,0.005483,0.004900,0.004427,0.003840,0.003234,0.002929,0.002481,0.002102,0.001510,0.0
2,0.001822,0.002092,0.002595,0.003032,0.003475,0.004031,0.005596,0.007216,0.008629,0.009688,0.010354,0.009616,0.008722,0.007409,0.005932,0.004476,0.003979,0.003303,0.002736,0.001852,0.0
3,0.002200,0.002473,0.003149,0.004066,0.004798,0.006087,0.008742,0.012245,0.015267,0.017376,0.018222,0.017456,0.015610,0.012814,0.009421,0.006630,0.005333,0.004428,0.003489,0.002291,0.0
4,0.002496,0.002809,0.003824,0.005191,0.006299,0.008408,0.013526,0.019629,0.024921,0.028853,0.030974,0.029007,0.025333,0.020248,0.014262,0.008978,0.006696,0.005434,0.004167,0.002680,0.0
5,0.002836,0.003196,0.004590,0.006608,0.008612,0.012225,0.020587,0.031397,0.041561,0.050002,0.054024,0.050232,0.042079,0.032065,0.021322,0.012686,0.008831,0.006629,0.004733,0.002897,0.0
6,0.003386,0.003876,0.005759,0.008807,0.012892,0.019115,0.033092,0.053421,0.075369,0.093982,0.102128,0.094606,0.076485,0.054645,0.034312,0.019870,0.013138,0.008692,0.005722,0.003308,0.0
7,0.003758,0.004389,0.006864,0.011565,0.017624,0.027694,0.050332,0.085903,0.127211,0.163034,0.178360,0.164169,0.128725,0.087512,0.052022,0.028775,0.017889,0.011470,0.006886,0.003777,0.0
8,0.004036,0.004709,0.008007,0.014061,0.021821,0.035862,0.068967,0.122706,0.187245,0.244818,0.268706,0.245335,0.188381,0.124019,0.070076,0.036498,0.021833,0.013757,0.008069,0.004250,0.0
9,0.004301,0.005128,0.008863,0.015765,0.025353,0.043084,0.085213,0.154662,0.239627,0.315377,0.346588,0.315391,0.239473,0.154393,0.084859,0.042819,0.024864,0.015324,0.008786,0.004526,0.0
10,0.004614,0.005450,0.009474,0.016768,0.027691,0.046932,0.092191,0.167697,0.261012,0.343324,0.376839,0.342958,0.260034,0.166517,0.090954,0.045940,0.026695,0.016127,0.009303,0.004848,0.0
11,0.004561,0.005375,0.009155,0.016531,0.026570,0.044609,0.086494,0.155425,0.239823,0.314667,0.345652,0.314433,0.239024,0.154143,0.084991,0.043239,0.025517,0.015924,0.009113,0.004778,0.0
12,0.004459,0.005155,0.008620,0.015149,0.023727,0.038494,0.071667,0.124423,0.187857,0.244768,0.268647,0.245292,0.188617,0.124356,0.070550,0.037189,0.022799,0.014591,0.008627,0.004499,0.0
13,0.004305,0.004828,0.007553,0.012689,0.019608,0.030349,0.053051,0.087496,0.127894,0.163537,0.179155,0.165519,0.130442,0.089009,0.052833,0.029619,0.018878,0.012415,0.007530,0.004137,0.0
14,0.004122,0.004417,0.006431,0.009941,0.014659,0.021299,0.034992,0.054311,0.075782,0.094351,0.103421,0.096943,0.079274,0.056816,0.035661,0.020843,0.014039,0.009668,0.006365,0.003764,0.0
15,0.003730,0.003859,0.005152,0.007509,0.009896,0.013679,0.021758,0.031837,0.041418,0.049991,0.054983,0.052203,0.044498,0.033880,0.022153,0.013200,0.009492,0.007270,0.005164,0.003249,0.0
16,0.003457,0.003486,0.004348,0.005853,0.007304,0.009525,0.014507,0.020191,0.025140,0.029090,0.031782,0.030566,0.027048,0.021324,0.014616,0.009100,0.006927,0.005628,0.004302,0.002756,0.0
17,0.003058,0.003052,0.003623,0.004674,0.005687,0.006995,0.009581,0.012877,0.015811,0.017918,0.018953,0.018751,0.016976,0.013649,0.009503,0.006646,0.005327,0.004438,0.003430,0.002315,0.0
18,0.002613,0.002648,0.003055,0.003746,0.004434,0.005091,0.006611,0.008316,0.009863,0.011005,0.011982,0.011705,0.010619,0.008746,0.006647,0.004885,0.004097,0.003418,0.002731,0.001897,0.0
19,0.001745,0.001722,0.002016,0.002529,0.002847,0.003166,0.003941,0.004922,0.005583,0.006210,0.006664,0.006652,0.005947,0.005075,0.003912,0.003112,0.002690,0.002339,0.001860,0.001310,0.0
20,0.000825,0.000790,0.000985,0.001305,0.001381,0.001450,0.001980,0.002464,0.002806,0.003130,0.003428,0.003291,0.002960,0.002541,0.001937,0.001604,0.001555,0.001366,0.001076,0.000725,0.0
